date,sale
2016/9/1,3023
2016/9/2,3039
2016/9/3,3056
2016/9/4,3138
2016/9/5,3188
2016/9/6,3224
2016/9/7,3226
2016/9/8,3029
2016/9/9,2859
2016/9/10,2870
2016/9/11,2910
2016/9/12,3012
2016/9/13,3142
2016/9/14,3252
2016/9/15,3342
2016/9/16,3365
2016/9/17,3339
2016/9/18,3345
2016/9/19,3421
2016/9/20,3443
2016/9/21,3428
2016/9/22,3554
