date,open,high,low,close
2016-09-09,10.34,10.8,10.28,10.54
2016-09-08,10.27,10.5,10.16,10.3
2016-09-07,10.36,10.55,10.21,10.22
2016-09-06,10.1,10.42,9.94,10.38
2016-09-05,10.23,10.25,10.0,10.1
2016-09-02,9.99,10.25,9.97,10.25
2016-09-01,9.81,10.22,9.7,10.02
2016-08-31,9.81,9.86,9.74,9.78
2016-08-30,9.93,9.93,9.8,9.81
2016-08-29,9.78,9.95,9.75,9.86
2016-08-26,9.67,9.86,9.67,9.8
2016-08-25,9.84,9.84,9.62,9.65
2016-08-24,9.83,9.94,9.81,9.84
2016-08-23,10.01,10.09,9.81,9.82
2016-08-22,10.0,10.19,9.96,10.06
2016-08-19,10.08,10.14,9.95,10.01
2016-08-18,10.18,10.27,10.09,10.11
2016-08-17,10.29,10.33,10.16,10.21
2016-08-16,10.24,10.45,10.12,10.33
2016-08-15,10.13,10.3,10.03,10.23
2016-08-12,10.04,10.21,9.95,10.13
2016-08-11,10.32,10.55,10.1,10.11
2016-08-10,9.96,10.5,9.95,10.4
2016-08-09,9.92,10.0,9.81,9.96
2016-08-08,10.02,10.08,9.91,9.98
2016-08-05,9.72,10.04,9.59,9.94
2016-08-04,9.6,9.74,9.53,9.69
2016-08-03,9.42,9.7,9.36,9.6
2016-08-02,9.42,9.5,9.32,9.4
2016-08-01,9.51,9.67,9.42,9.46
2016-07-29,9.88,9.9,9.5,9.63
2016-07-28,9.28,10.08,9.04,9.82
2016-07-27,9.82,9.84,9.0,9.28
2016-07-26,9.67,9.8,9.67,9.8
2016-07-25,9.64,9.79,9.64,9.7
2016-07-22,9.68,9.78,9.6,9.7
2016-07-21,9.7,9.82,9.69,9.71
2016-07-20,9.6,9.84,9.58,9.72
2016-07-19,9.5,9.65,9.45,9.61
2016-07-18,9.85,9.9,9.5,9.59
2016-07-15,10.02,10.07,9.9,9.91
2016-07-14,10.05,10.13,10.0,10.05
2016-07-13,10.08,10.15,9.99,10.05
2016-07-12,10.19,10.29,9.92,10.13
2016-07-11,10.09,10.28,10.02,10.19
2016-07-08,10.18,10.2,9.97,10.04
2016-07-07,9.96,10.18,9.91,10.18
2016-07-06,9.95,9.99,9.85,9.9
2016-07-05,9.99,10.15,9.86,10.03
2016-07-04,9.81,10.68,9.77,10.26
2016-07-01,11.2,11.27,10.85,10.86
2016-06-30,11.09,11.18,10.75,11.14
2016-06-29,11.25,11.39,10.88,11.05
2016-06-28,10.5,11.55,10.41,11.3
2016-06-27,10.25,10.6,10.12,10.5
2016-06-24,10.65,10.76,9.75,10.25
2016-06-23,10.98,11.06,10.59,10.6
2016-06-22,10.75,11.2,10.54,11.09
2016-06-21,11.25,11.48,10.7,10.81
2016-06-20,10.99,11.4,10.81,11.17
2016-06-17,11.41,11.84,10.96,11.16
2016-06-16,12.48,12.89,11.51,11.63
2016-06-15,10.6,11.74,10.5,11.74
2016-06-14,9.51,10.67,9.51,10.67
2016-06-13,9.6,10.6,9.41,9.7
2016-06-08,9.41,9.84,9.3,9.7
2016-06-07,9.54,9.6,9.37,9.45
2016-06-06,9.31,9.77,9.29,9.59
2016-06-03,9.41,9.5,9.3,9.3
2016-06-02,9.35,9.46,9.25,9.41
2016-06-01,9.27,9.54,9.16,9.37
2016-05-31,8.9,9.25,8.86,9.2
2016-05-30,8.71,9.1,8.5,8.85
2016-05-27,8.78,8.92,8.66,8.78
2016-05-26,8.78,8.88,8.48,8.81
2016-05-25,8.94,9.02,8.67,8.8
2016-05-24,9.02,9.06,8.77,8.82
2016-05-23,8.75,9.19,8.75,9.07
2016-05-20,8.54,8.85,8.4,8.8
2016-05-19,8.67,8.88,8.6,8.6
2016-05-18,8.84,8.84,8.45,8.66
2016-05-17,9.13,9.24,8.91,8.98
2016-05-16,8.74,9.31,8.64,9.22
2016-05-13,9.01,9.07,8.73,8.8
2016-05-12,8.56,8.96,8.46,8.92
2016-05-11,9.05,9.05,8.67,8.8
2016-05-10,9.03,9.22,8.79,8.9
2016-05-09,9.52,9.54,8.9,9.08
2016-05-06,10.25,10.29,9.64,9.64
2016-05-05,10.13,10.42,10.06,10.19
2016-05-04,10.25,10.4,10.06,10.14
2016-05-03,9.91,10.59,9.76,10.4
2016-04-29,9.68,10.43,9.56,10.07
2016-04-28,9.65,9.81,9.42,9.79
2016-04-27,10.0,10.0,9.46,9.66
2016-04-26,10.1,10.1,9.62,9.95
2016-04-25,9.94,10.1,9.75,10.08
2016-04-22,10.1,10.44,9.68,9.9
2016-04-21,11.48,11.55,10.25,10.3
2016-04-20,11.78,12.07,11.05,11.39
2016-04-19,10.99,10.99,10.6,10.99
2016-04-18,9.99,9.99,9.99,9.99
2016-04-15,9.08,9.08,9.08,9.08
2016-04-14,8.25,8.25,8.25,8.25
2016-04-13,7.5,7.5,7.5,7.5
2016-04-12,6.82,6.82,6.82,6.82
